Country,Corruption 2018,Corruption 2019,Corruption 2020,Corruption 2021
Norway,0.34,0.341,0.263218194,0.27
Denmark,0.408,0.41,0.168489456,0.179
Iceland,0.138,0.118,0.711709738,0.673
Switzerland,0.357,0.343,0.303728431,0.292
Finland,0.393,0.393,0.195444584,0.186
Netherlands,0.295,0.298,0.364717126,0.338
Canada,0.291,0.308,0.390843362,0.415
New Zealand,0.389,0.38,0.22113885,0.242
Sweden,0.383,0.373,0.250880182,0.237
Australia,0.302,0.29,0.41516912,0.442
Israel,0.272,0.082,0.78085506,0.753
Costa Rica,0.101,0.093,0.786332428,0.809
Austria,0.224,0.226,0.499954879,0.481
United States,0.133,0.128,0.699715316,0.698
Ireland,0.306,0.31,0.357184172,0.363
Germany,0.28,0.265,0.456422031,0.46
Belgium,0.24,0.21,0.612297952,0.646
Luxembourg,0.321,0.316,0.367084295,0.386
United Kingdom,0.082,0.278,0.435915917,0.459
Chile,0.061,0.056,0.838239431,0.83
Brazil,0.088,0.086,0.770601273,0.756
Argentina,0.054,0.05,0.842009842,0.834
Mexico,0.095,0.073,0.806821585,0.799
Singapore,0.457,0.453,0.109784193,0.082
Malta,0.142,0.151,0.658547282,0.653
Uruguay,0.155,0.15,0.635994136,0.59
Guatemala,0.071,0.078,0.783237457,0.775
Panama,0.063,0.054,0.851588905,0.856
France,0.176,0.183,0.583521128,0.571
Thailand,0.029,0.028,0.886272311,0.895
Spain,0.074,0.079,0.765859902,0.745
Colombia,0.039,0.034,0.86457181,0.841
Saudi Arabia,0.127,0.132,0.682619512,0.684
Kuwait,0.106,0.097,0.760849059,0.736
Slovakia,0.014,0.014,0.918096125,0.911
Bahrain,0.123,0.11,0.7393471,0.722
Malaysia,0.059,0.024,0.839302301,0.839
Nicaragua,0.128,0.127,0.665950119,0.664
Ecuador,0.12,0.087,0.801215112,0.843
El Salvador,0.082,0.074,0.754319906,0.688
Poland,0.064,0.05,0.686927021,0.735
Uzbekistan,0.259,0.24,0.501497388,0.515
Italy,0.028,0.03,0.873404682,0.866
Russia,0.025,0.031,0.864802599,0.845
Japan,0.15,0.14,0.654558063,0.638
Lithuania,0.006,0.042,0.809583843,0.826
Algeria,0.135,0.114,0.735485137,0.752
Latvia,0.066,0.064,0.795580089,0.8
South Korea,0.051,0.056,0.789067447,0.727
Moldova,0.0,0.0,0.913314283,0.918
Romania,0.001,0.005,0.934300244,0.938
Bolivia,0.054,0.064,0.822606206,0.839
Turkmenistan,0.037,0.028,0.883691847,0.888
Kazakhstan,0.121,0.096,0.764490843,0.733
Slovenia,0.051,0.057,0.817071021,0.806
Peru,0.034,0.027,0.893714964,0.891
Mauritius,0.05,0.06,0.805343091,0.789
Cyprus,0.035,0.041,0.856271744,0.844
Estonia,0.174,0.161,0.623073816,0.527
Belarus,0.154,0.142,0.63571167,0.627
Libya,0.148,0.152,0.668779135,0.667
Turkey,0.109,0.106,0.748197377,0.776
Paraguay,0.074,0.08,0.834788501,0.882
Philippines,0.105,0.107,0.733634114,0.742
Serbia,0.043,0.039,0.843509018,0.835
Jordan,0.134,0.13,0.700344324,0.705
Hungary,0.022,0.02,0.892916501,0.876
Jamaica,0.031,0.028,0.888890028,0.884
Croatia,0.039,0.022,0.916495264,0.939
Kosovo,0.023,0.006,0.922328293,0.917
China,0.103,0.1,0.7539711,0.755
Pakistan,0.113,0.098,0.745705426,0.787
Indonesia,0.018,0.028,0.876296401,0.867
Venezuela,0.052,0.047,0.837038398,0.827
Montenegro,0.081,0.08,0.783121586,0.812
Morocco,0.074,0.076,0.815724611,0.801
Azerbaijan,0.176,0.182,0.55253756,0.506
Dominican Republic,0.106,0.101,0.755999923,0.714
Greece,0.044,0.034,0.859931409,0.823
Lebanon,0.136,0.027,0.90225625,0.898
Portugal,0.017,0.025,0.892629504,0.887
Bosnia and Herzegovina,0.0,0.006,0.933769107,0.931
Honduras,0.074,0.078,0.801131904,0.809
Vietnam,0.079,0.073,0.79642123,0.796
Nigeria,0.032,0.041,0.861874342,0.878
Tajikistan,0.034,0.144,0.592076063,0.553
Kyrgyzstan,0.035,0.023,0.888396084,0.908
Nepal,0.078,0.089,0.738099158,0.727
Mongolia,0.032,0.038,0.863511205,0.856
South Africa,0.056,0.055,0.843423843,0.86
Tunisia,0.063,0.055,0.867590249,0.87
Palestinian Territories,0.076,0.066,0.824199975,0.821
Egypt,0.107,0.067,0.787726879,0.795
Bulgaria,0.009,0.004,0.935585141,0.932
Sierra Leone,0.053,0.045,0.861330688,0.866
Cameroon,0.043,0.037,0.851336598,0.848
Iran,0.129,0.125,0.714635968,0.714
Albania,0.032,0.027,0.896303713,0.901
Bangladesh,0.144,0.143,0.661843538,0.682
Kenya,0.055,0.053,0.831499159,0.825
Myanmar,0.178,0.172,0.645124316,0.66
Senegal,0.082,0.072,0.808785141,0.801
Zambia,0.082,0.087,0.801289678,0.823
Iraq,0.095,0.089,0.82226181,0.875
Gabon,0.052,0.055,0.849150956,0.84
Ethiopia,0.146,0.1,0.753690004,0.761
Sri Lanka,0.05,0.047,0.859001756,0.863
Armenia,0.028,0.064,0.773544788,0.629
India,0.093,0.085,0.772042692,0.774
Mauritania,0.093,0.088,0.746223509,0.731
Georgia,0.215,0.164,0.665944695,0.655
Mali,0.056,0.052,0.839328408,0.827
Ivory Coast,0.103,0.09,0.790771961,0.794
Cambodia,0.065,0.062,0.822769046,0.843
Ghana,0.029,0.04,0.847964764,0.848
Ukraine,0.011,0.01,0.920636714,0.924
Uganda,0.061,0.06,0.836737812,0.855
Burkina Faso,0.128,0.113,0.739795029,0.748
Niger,0.099,0.102,0.722530186,0.693
Malawi,0.08,0.089,0.731700778,0.729
Chad,0.06,0.078,0.802760839,0.807
Zimbabwe,0.099,0.089,0.81023699,0.821
Afghanistan,0.036,0.025,0.933686554,0.924
Botswana,0.092,0.1,0.777930915,0.801
Benin,0.067,0.082,0.740532577,0.661
Madagascar,0.049,0.041,0.817485631,0.803
Yemen,0.064,0.077,0.800287724,0.8
Liberia,0.03,0.033,0.856375933,0.85
Guinea,0.094,0.086,0.761794448,0.766
Togo,0.101,0.085,0.757733464,0.772
Rwanda,0.444,0.411,0.183541179,0.167
Tanzania,0.097,0.147,0.619799435,0.577
