Country,2019,2020,2021,2022
Finland,0.153,-0.059482019,-0.098,0.109
Denmark,0.252,0.066201776,0.03,0.188
Norway,0.271,0.13453263,0.093,0.217
Iceland,0.354,0.246944219,0.16,0.27
Netherlands,0.322,0.20761244,0.175,0.271
Switzerland,0.263,0.105911039,0.025,0.147
Sweden,0.267,0.111614622,0.086,0.218
New Zealand,0.33,0.191598073,0.134,0.245
Canada,0.285,0.124770768,0.089,0.217
Austria,0.244,0.085429221,0.042,0.193
Australia,0.332,0.19046016,0.159,0.258
Costa Rica,0.144,-0.10242971,-0.126,0.089
Israel,0.261,0.10259372,0.031,0.155
Luxembourg,0.194,-0.004620588,-0.034,0.12
United Kingdom,0.348,0.263732493,0.233,0.289
Ireland,0.298,0.145784974,0.077,0.19
Germany,0.261,0.080179386,0.011,0.163
Belgium,0.16,-0.078691199,-0.153,0.049
United States,0.28,0.149891734,0.098,0.22
Czechia,0.046,-0.230861515,-0.208,0.158
United Arab Emirates,0.262,0.123450845,0.074,0.204
Malta,0.375,0.214965805,0.133,0.174
Mexico,0.074,-0.175266623,-0.147,0.092
France,0.111,-0.130641967,-0.147,0.07
Chile,0.187,-0.065668367,-0.044,0.124
Guatemala,0.175,-0.042938665,-0.038,0.112
Saudi Arabia,0.08,-0.168695062,-0.149,0.078
Spain,0.153,-0.050961714,-0.081,0.101
Panama,0.109,-0.153927714,-0.166,0.049
Brazil,0.099,-0.101812392,-0.071,0.131
Uruguay,0.127,-0.101103112,-0.092,0.103
Singapore,0.271,0.029879224,-0.018,0.163
El Salvador,0.093,-0.121072978,-0.11,0.089
Italy,0.158,-0.043460999,-0.084,0.085
Bahrain,0.255,0.13372919,0.089,0.199
Slovakia,0.121,-0.124409303,-0.124,0.118
Poland,0.117,-0.205084071,-0.165,0.124
Uzbekistan,0.322,0.248427153,0.311,0.283
Lithuania,0.043,-0.219725296,-0.203,0.053
Colombia,0.099,-0.161235645,-0.135,0.087
Slovenia,0.144,-0.080603383,-0.101,0.118
Nicaragua,0.2,0.020959141,0.02,0.168
Kosovo,0.262,0.190933764,0.257,0.309
Argentina,0.066,-0.194913864,-0.182,0.081
Romania,0.083,-0.19781521,-0.219,0.039
Cyprus,0.19,0.043731496,-0.015,0.123
Ecuador,0.126,-0.127014965,-0.124,0.08
Kuwait,0.142,-0.100184701,-0.104,0.087
Thailand,0.359,0.268685192,0.287,0.321
Latvia,0.075,-0.186888844,-0.162,0.075
South Korea,0.175,-0.043404032,-0.083,0.111
Estonia,0.103,-0.111697771,-0.106,0.123
Jamaica,0.107,-0.125106767,-0.137,0.08
Mauritius,0.215,-0.018318573,-0.054,0.131
Japan,0.069,-0.246910349,-0.258,0.007
Honduras,0.246,0.086969115,0.081,0.202
Kazakhstan,0.146,-0.068488635,-0.069,0.134
Bolivia,0.137,-0.09168113,-0.077,0.112
Hungary,0.081,-0.194323018,-0.186,0.078
Paraguay,0.184,0.007997713,0.028,0.171
Peru,0.083,-0.16238822,-0.154,0.09
Portugal,0.047,-0.220714301,-0.244,0.016
Pakistan,0.22,0.04489987,0.098,0.181
Russia,0.082,-0.151153743,-0.111,0.117
Philippines,0.117,-0.105463006,-0.097,0.107
Serbia,0.137,-0.073676221,0.002,0.219
Moldova,0.181,-0.037741039,-0.079,0.102
Libya,0.133,-0.085054487,-0.087,0.106
Montenegro,0.142,-0.075600356,-0.034,0.135
Tajikistan,0.23,-0.025088511,-0.056,0.118
Croatia,0.119,-0.128538325,-0.118,0.109
Dominican Republic,0.113,-0.131263286,-0.133,0.084
Bosnia and Herzegovina,0.263,0.098274559,0.113,0.244
Turkey,0.083,-0.171046436,-0.139,0.087
Malaysia,0.26,0.114726797,0.125,0.213
Belarus,0.094,-0.164926544,-0.18,0.04
Greece,0.0,-0.300907373,-0.288,0.015
Mongolia,0.235,0.098093867,0.116,0.247
Nigeria,0.215,0.033745807,0.037,0.175
Kyrgyzstan,0.3,0.154772058,0.119,0.208
Turkmenistan,0.244,0.187671542,0.273,0.314
Algeria,0.073,-0.121105164,-0.067,0.106
Morocco,0.036,-0.240377247,-0.236,0.02
Azerbaijan,0.035,-0.240255281,-0.223,0.023
Lebanon,0.166,-0.06121527,-0.073,0.082
Indonesia,0.498,0.519586504,0.542,0.468
China,0.058,-0.18142575,-0.146,0.099
Vietnam,0.147,-0.094533332,-0.098,0.143
Cameroon,0.187,-0.00149645,0.026,0.152
Bulgaria,0.081,-0.143908441,-0.096,0.123
Ghana,0.245,0.094170853,0.123,0.23
Ivory Coast,0.154,-0.043991156,-0.016,0.149
Nepal,0.285,0.154168829,0.152,0.237
Jordan,0.11,-0.162565202,-0.167,0.058
Benin,0.175,-0.003537213,-0.034,0.127
Gabon,0.043,-0.222261623,-0.2,0.032
Laos,0.266,0.11137148,0.123,0.197
South Africa,0.13,-0.109777324,-0.067,0.089
Albania,0.178,-0.042309489,-0.03,0.138
Venezuela,0.064,-0.169090509,-0.169,0.225
Cambodia,0.232,0.051911179,0.034,0.166
Palestinian Territories,0.103,-0.162079096,-0.163,0.073
Senegal,0.153,-0.052335154,-0.046,0.143
Namibia,0.07,-0.18530646,-0.149,0.067
Niger,0.188,0.013860817,0.018,0.165
Burkina Faso,0.177,-0.019080516,-0.009,0.186
Armenia,0.095,-0.13877961,-0.168,0.054
Iran,0.27,0.117891103,0.218,0.241
Guinea,0.207,0.076328471,0.095,0.214
Georgia,0.043,-0.22892037,-0.238,0.0
Gambia,0.269,0.343198717,0.424,0.388
Kenya,0.372,0.294681519,0.287,0.322
Mauritania,0.106,-0.106008142,-0.106,0.088
Mozambique,0.197,0.032375868,0.061,0.185
Tunisia,0.059,-0.216413811,-0.201,0.029
Bangladesh,0.166,-0.033664726,-0.041,0.125
Iraq,0.148,-0.06956476,-0.053,0.147
Mali,0.153,-0.044366926,-0.036,0.128
Sierra Leone,0.252,0.088660747,0.084,0.202
Sri Lanka,0.244,0.081129618,0.079,0.15
Myanmar,0.566,0.560663998,0.509,0.452
Chad,0.198,0.017834719,0.041,0.182
Ukraine,0.187,-0.030933706,-0.011,0.188
Ethiopia,0.209,0.043377332,0.082,0.205
Kingdom of Eswatini,0.074,-0.19920142,-0.185,0.038
Uganda,0.252,0.099487431,0.122,0.222
Egypt,0.076,-0.196878314,-0.182,0.041
Zambia,0.247,0.078037128,0.061,0.203
Togo,0.177,0.002667875,0.032,0.174
India,0.2,0.057551607,0.089,0.198
Liberia,0.233,0.04227322,0.05,0.178
Comoros,0.275,0.090008408,0.082,0.195
Madagascar,0.169,-0.011823639,-0.005,0.143
Lesotho,0.107,-0.145732045,-0.131,0.076
Zimbabwe,0.151,-0.072063953,-0.047,0.106
Botswana,0.025,-0.250394493,-0.246,0.012
Malawi,0.218,0.021433279,0.038,0.14
Yemen,0.108,-0.157735437,-0.147,0.09
Rwanda,0.217,0.055483952,0.061,0.187
Tanzania,0.276,0.109668687,0.183,0.248
Afghanistan,0.158,-0.0964294,-0.102,0.089
Congo,0.105,-0.123674095,-0.068,0.13
