Country,Generosity 2018,Generosity 2019,Generosity 2020,Generosity 2021
Norway,0.286,0.271,0.13453263,0.093
Denmark,0.284,0.252,0.066201776,0.03
Iceland,0.353,0.354,0.246944219,0.16
Switzerland,0.256,0.263,0.105911039,0.025
Finland,0.202,0.153,-0.059482019,-0.098
Netherlands,0.333,0.322,0.20761244,0.175
Canada,0.321,0.285,0.124770768,0.089
New Zealand,0.365,0.33,0.191598073,0.134
Sweden,0.285,0.267,0.111614622,0.086
Australia,0.361,0.332,0.19046016,0.159
Israel,0.354,0.261,0.10259372,0.031
Costa Rica,0.143,0.144,-0.10242971,-0.126
Austria,0.242,0.244,0.085429221,0.042
United States,0.291,0.28,0.149891734,0.098
Ireland,0.307,0.298,0.145784974,0.077
Germany,0.273,0.261,0.080179386,0.011
Belgium,0.188,0.16,-0.078691199,-0.153
Luxembourg,0.196,0.194,-0.004620588,-0.034
United Kingdom,0.262,0.348,0.263732493,0.233
Chile,0.197,0.187,-0.065668367,-0.044
United Arab Emirates,0.186,0.262,0.123450845,0.074
Brazil,0.11,0.099,-0.101812392,-0.071
Argentina,0.062,0.066,-0.194913864,-0.182
Mexico,0.069,0.074,-0.175266623,-0.147
Singapore,0.261,0.271,0.029879224,-0.018
Malta,0.376,0.375,0.214965805,0.133
Uruguay,0.13,0.127,-0.101103112,-0.092
Guatemala,0.179,0.175,-0.042938665,-0.038
Panama,0.125,0.109,-0.153927714,-0.166
France,0.098,0.111,-0.130641967,-0.147
Thailand,0.364,0.359,0.268685192,0.287
Spain,0.142,0.153,-0.050961714,-0.081
Colombia,0.099,0.099,-0.161235645,-0.135
Saudi Arabia,0.098,0.08,-0.168695062,-0.149
Kuwait,0.167,0.142,-0.100184701,-0.104
Slovakia,0.118,0.121,-0.124409303,-0.124
Bahrain,0.243,0.255,0.13372919,0.089
Malaysia,0.311,0.26,0.114726797,0.125
Nicaragua,0.208,0.2,0.020959141,0.02
Ecuador,0.114,0.126,-0.127014965,-0.124
El Salvador,0.065,0.093,-0.121072978,-0.11
Poland,0.108,0.117,-0.205084071,-0.165
Uzbekistan,0.328,0.322,0.248427153,0.311
Italy,0.137,0.158,-0.043460999,-0.084
Russia,0.065,0.082,-0.151153743,-0.111
Japan,0.079,0.069,-0.246910349,-0.258
Lithuania,0.026,0.043,-0.219725296,-0.203
Algeria,0.055,0.073,-0.121105164,-0.067
Latvia,0.092,0.075,-0.186888844,-0.162
South Korea,0.175,0.175,-0.043404032,-0.083
Moldova,0.171,0.181,-0.037741039,-0.079
Romania,0.088,0.083,-0.19781521,-0.219
Bolivia,0.141,0.137,-0.09168113,-0.077
Turkmenistan,0.199,0.244,0.187671542,0.273
Kazakhstan,0.148,0.146,-0.068488635,-0.069
Slovenia,0.16,0.144,-0.080603383,-0.101
Peru,0.092,0.083,-0.16238822,-0.154
Mauritius,0.245,0.215,-0.018318573,-0.054
Cyprus,0.202,0.19,0.043731496,-0.015
Estonia,0.086,0.103,-0.111697771,-0.106
Belarus,0.101,0.094,-0.164926544,-0.18
Libya,0.116,0.133,-0.085054487,-0.087
Turkey,0.106,0.083,-0.171046436,-0.139
Paraguay,0.162,0.184,0.007997713,0.028
Philippines,0.12,0.117,-0.105463006,-0.097
Serbia,0.134,0.137,-0.073676221,0.002
Jordan,0.13,0.11,-0.162565202,-0.167
Hungary,0.061,0.081,-0.194323018,-0.186
Jamaica,0.096,0.107,-0.125106767,-0.137
Croatia,0.12,0.119,-0.128538325,-0.118
Kosovo,0.274,0.262,0.190933764,0.257
China,0.029,0.058,-0.18142575,-0.146
Pakistan,0.216,0.22,0.04489987,0.098
Indonesia,0.484,0.498,0.519586504,0.542
Venezuela,0.056,0.064,-0.169090509,-0.169
Montenegro,0.111,0.142,-0.075600356,-0.034
Morocco,0.026,0.036,-0.240377247,-0.236
Azerbaijan,0.031,0.035,-0.240255281,-0.223
Dominican Republic,0.12,0.113,-0.131263286,-0.133
Greece,0.0,0.0,-0.300907373,-0.288
Lebanon,0.214,0.166,-0.06121527,-0.073
Portugal,0.055,0.047,-0.220714301,-0.244
Bosnia and Herzegovina,0.216,0.263,0.098274559,0.113
Honduras,0.197,0.246,0.086969115,0.081
Vietnam,0.177,0.147,-0.094533332,-0.098
Nigeria,0.201,0.215,0.033745807,0.037
Tajikistan,0.187,0.23,-0.025088511,-0.056
Kyrgyzstan,0.281,0.3,0.154772058,0.119
Nepal,0.302,0.285,0.154168829,0.152
Mongolia,0.253,0.235,0.098093867,0.116
South Africa,0.103,0.13,-0.109777324,-0.067
Tunisia,0.04,0.059,-0.216413811,-0.201
Palestinian Territories,0.086,0.103,-0.162079096,-0.163
Egypt,0.092,0.076,-0.196878314,-0.182
Bulgaria,0.064,0.081,-0.143908441,-0.096
Sierra Leone,0.238,0.252,0.088660747,0.084
Cameroon,0.183,0.187,-0.00149645,0.026
Iran,0.282,0.27,0.117891103,0.218
Albania,0.149,0.178,-0.042309489,-0.03
Bangladesh,0.153,0.166,-0.033664726,-0.041
Kenya,0.352,0.372,0.294681519,0.287
Myanmar,0.598,0.566,0.560663998,0.509
Senegal,0.138,0.153,-0.052335154,-0.046
Zambia,0.221,0.247,0.078037128,0.061
Iraq,0.148,0.148,-0.06956476,-0.053
Gabon,0.032,0.043,-0.222261623,-0.2
Ethiopia,0.22,0.209,0.043377332,0.082
Sri Lanka,0.307,0.244,0.081129618,0.079
Armenia,0.077,0.095,-0.13877961,-0.168
India,0.172,0.2,0.057551607,0.089
Mauritania,0.134,0.106,-0.106008142,-0.106
Georgia,0.038,0.043,-0.22892037,-0.238
Mali,0.139,0.153,-0.044366926,-0.036
Ivory Coast,0.146,0.154,-0.043991156,-0.016
Cambodia,0.256,0.232,0.051911179,0.034
Ghana,0.212,0.245,0.094170853,0.123
Ukraine,0.187,0.187,-0.030933706,-0.011
Uganda,0.259,0.252,0.099487431,0.122
Burkina Faso,0.175,0.177,-0.019080516,-0.009
Niger,0.175,0.188,0.013860817,0.018
Malawi,0.21,0.218,0.021433279,0.038
Chad,0.181,0.198,0.017834719,0.041
Zimbabwe,0.132,0.151,-0.072063953,-0.047
Afghanistan,0.191,0.158,-0.0964294,-0.102
Botswana,0.042,0.025,-0.250394493,-0.246
Benin,0.163,0.175,-0.003537213,-0.034
Madagascar,0.155,0.169,-0.011823639,-0.005
Yemen,0.083,0.108,-0.157735437,-0.147
Liberia,0.206,0.233,0.04227322,0.05
Guinea,0.185,0.207,0.076328471,0.095
Togo,0.158,0.177,0.002667875,0.032
Rwanda,0.2,0.217,0.055483952,0.061
Tanzania,0.27,0.276,0.109668687,0.183
